address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Sheikh Zayed Road",poi,114593,25.196359556279,55.246982574463,Dubai,"Al Safa Area منطقة الصفا",4b0587eff964a52005a822e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114593,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114593
"Sikkat Al Khali Street",poi,114595,25.270809255043,55.299308655185,Dubai,"Perfume Souk",4b0587eff964a5200ba822e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114595,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114595
"Hor Al-Anz (Next to Al-Shaab Colony)",poi,114599,25.283394498659,55.340318891783,Dubai,"Hor Al Anz Mosque",4b0587eff964a52011a822e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114599,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114599
"Off Sheikh Rashid Road",poi,114602,25.243496643564,55.341534266489,Dubai,"Dubai Tennis Stadium",4b0587eff964a52018a822e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114602,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114602
Shindagha,poi,114622,25.269091,55.290927,Dubai,"H.H. Sheikh Saeed House",4b0587eff964a520f4a722e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114622,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114622
Hatta,poi,114624,24.810819514778,56.12798682232,Dubai,"Hatta Village",4b0587eff964a520f6a722e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114624,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114624
"Jumeirah Beach Road",poi,114626,25.222801361656,55.256810188293,Dubai,"Dubai Zoo حديقة الحيوان",4b0587eff964a520f8a722e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114626,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114626
"Al Fahidi Street and Al Mankhool Road",poi,114628,25.263986318717,55.299940109253,Dubai,"Al Bastakiya البستكية",4b0587eff964a520faa722e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114628,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114628
"Jumeirah Road",poi,114630,25.186281249046,55.230454889255,Dubai,"Umm Al Sheif Majlis",4b0587eff964a520fca722e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114630,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114630
"13B Street",poi,114633,25.16066,55.31075,Dubai,"Godolphin Gallery",4b0587eff964a520ffa722e3,0,"Monument / Landmark",http://tour-pedia.org/api/getPlaceDetails?id=114633,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114633
